file_name,predicted_shot,true_label_name,technique_match_score,classifier_confidence,num_detected_issues,primary_tip,spoken_feedback
defensive_shot_good_06.mov,defensive_shot,defensive_shot,69.9773,0.8433389067649841,3,Use controlled hip rotation so the swing stays balanced.,defensive shot scored 70 out of 100. Use controlled hip rotation so the swing stays balanced. Focus on one adjustment at a time and repeat the movement with control.
defensive_shot_average_04.mov,defensive_shot,defensive_shot,81.2516,0.7108601927757263,3,Let your head travel with the front side instead of drifting away from the shot line.,defensive shot scored 81 out of 100. Let your head travel with the front side instead of drifting away from the shot line. Focus on one adjustment at a time and repeat the movement with control.
pull_shot_average_05.mov,pull_shot,pull_shot,93.8226,0.7490328550338745,2,Complete your follow-through instead of stopping the movement early.,pull shot scored 94 out of 100. Complete your follow-through instead of stopping the movement early. Focus on one adjustment at a time and repeat the movement with control.
sweep_shot_good_01.mov,sweep_shot,sweep_shot,91.2192,0.98513662815094,2,Use the back leg as a stable support while transferring into the shot.,sweep shot scored 91 out of 100. Use the back leg as a stable support while transferring into the shot. Focus on one adjustment at a time and repeat the movement with control.
pull_shot_average_01.mov,pull_shot,pull_shot,97.0846,0.9949211478233336,1,Complete your follow-through instead of stopping the movement early.,pull shot scored 97 out of 100. Complete your follow-through instead of stopping the movement early. Focus on one adjustment at a time and repeat the movement with control.
pull_shot_good_05.mov,defensive_shot,pull_shot,53.6322,0.467300534248352,3,Rotate through the hips smoothly without forcing or over-rotating.,defensive shot scored 54 out of 100. Rotate through the hips smoothly without forcing or over-rotating. Focus on one adjustment at a time and repeat the movement with control.
sweep_shot_average_08.mov,sweep_shot,sweep_shot,87.4476,0.9288209080696106,3,Move decisively into position before completing the swing.,sweep shot scored 87 out of 100. Move decisively into position before completing the swing. Focus on one adjustment at a time and repeat the movement with control.
cover_drive_good_02.mov,sweep_shot,cover_drive,71.9494,0.6302573680877686,3,Rotate through the hips smoothly without forcing or over-rotating.,sweep shot scored 72 out of 100. Rotate through the hips smoothly without forcing or over-rotating. Focus on one adjustment at a time and repeat the movement with control.
sweep_shot_bad_02.mov,pull_shot,sweep_shot,88.2129,0.988636553287506,3,Keep your body height controlled instead of rising or dipping abruptly.,pull shot scored 88 out of 100. Keep your body height controlled instead of rising or dipping abruptly. Focus on one adjustment at a time and repeat the movement with control.
defensive_shot_good_02.mov,sweep_shot,defensive_shot,93.9159,0.6852043867111206,1,Use the back leg as a stable support while transferring into the shot.,sweep shot scored 94 out of 100. Use the back leg as a stable support while transferring into the shot. Focus on one adjustment at a time and repeat the movement with control.
cover_drive_average_02.mov,cover_drive,cover_drive,96.4375,0.9917518496513368,0,Maintain this movement pattern and keep the shot repeatable under match tempo.,cover drive scored 96 out of 100. Maintain this movement pattern and keep the shot repeatable under match tempo. Focus on one adjustment at a time and repeat the movement with control.
cover_drive_bad_01.mov,cover_drive,cover_drive,90.6432,0.9141826629638672,2,Keep the bat-side wrist moving into a controlled finish position.,cover drive scored 91 out of 100. Keep the bat-side wrist moving into a controlled finish position. Focus on one adjustment at a time and repeat the movement with control.
